,Park Code,Year,Park Unit,Recreation Visits,Overnight Stays,All Visitors Spend,Non-Local Visitors Spend,Jobs,Labor Income,Value Added,Output
3214,KLSE,2018,Klondike Gold Rush NHP Seattle,"82,646",,"$4,881,000.00",,56,"$2,347,000.00","$4,240,000.00","$6,481,000.00"
3215,KNRI,2018,Knife River Indian Villages NHS,"11,682",,"$690,000.00",,10,"$308,000.00","$502,000.00","$910,000.00"
3216,KOVA,2018,Kobuk Valley NP,"14,937",,"$22,686,000.00",,279,"$10,624,000.00","$19,882,000.00","$32,245,000.00"
3217,KOWA,2018,Korean War Veterans Memorial,"4,107,521",,"$78,578,000.00",,"1,021","$42,702,000.00","$72,263,000.00","$113,134,000.00"
3218,LACH,2018,Lake Chelan NRA,"38,839",,"$2,685,000.00",,28,"$1,268,000.00","$2,323,000.00","$3,478,000.00"
3219,LACL,2018,Lake Clark NP & PRES,"14,479",,"$21,992,000.00",,271,"$10,298,000.00","$19,274,000.00","$31,259,000.00"
3220,LAKE,2018,Lake Mead NRA,"7,578,958",,"$336,122,000.00",,"3,986","$149,489,000.00","$246,533,000.00","$396,596,000.00"
3221,LAMR,2018,Lake Meredith NRA,"1,106,232",,"$48,845,000.00",,652,"$18,287,000.00","$30,430,000.00","$55,236,000.00"
3222,LARO,2018,Lake Roosevelt NRA,"1,276,723",,"$56,413,000.00",,689,"$21,703,000.00","$39,677,000.00","$65,953,000.00"
3223,LAVO,2018,Lassen Volcanic NP,"499,435",,"$30,328,000.00",,406,"$11,645,000.00","$19,321,000.00","$34,285,000.00"
3224,LABE,2018,Lava Beds NM,"127,771",,"$5,476,000.00",,66,"$2,000,000.00","$3,246,000.00","$5,710,000.00"
3225,LEWI,2018,Lewis & Clark NHP,"286,349",,"$16,910,000.00",,233,"$8,532,000.00","$14,498,000.00","$23,796,000.00"
3226,LIBO,2018,Lincoln Boyhood NMEM,"133,850",,"$6,440,000.00",,98,"$2,897,000.00","$5,019,000.00","$8,726,000.00"
3227,LIHO,2018,Lincoln Home NHS,"197,717",,"$12,143,000.00",,175,"$4,528,000.00","$8,652,000.00","$15,121,000.00"
3228,LINC,2018,Lincoln Memorial,"7,804,683",,"$149,306,000.00",,"1,940","$81,138,000.00","$137,307,000.00","$214,966,000.00"
3229,LIBI,2018,Little Bighorn Battlefield NM,"272,591",,"$16,097,000.00",,248,"$7,227,000.00","$11,530,000.00","$21,117,000.00"
3230,LIRI,2018,Little River Canyon NPRES,"441,177",,"$26,053,000.00",,404,"$11,146,000.00","$19,133,000.00","$34,465,000.00"
3231,CHSC,2018,Little Rock Central High School NHS,"149,098",,"$8,805,000.00",,140,"$3,538,000.00","$6,494,000.00","$11,814,000.00"
3232,LONG,2018,Longfellow House Washington's HQ NHS,"60,528",,"$3,574,000.00",,47,"$1,983,000.00","$3,254,000.00","$5,112,000.00"
3233,LOWE,2018,Lowell NHP,"507,276",,"$29,956,000.00",,395,"$16,542,000.00","$27,208,000.00","$42,784,000.00"
3234,LYJO,2018,Lyndon B. Johnson NHP,"121,500",,"$7,175,000.00",,102,"$3,601,000.00","$6,120,000.00","$10,234,000.00"
3235,LYBA,2018,LBJ Memorial Grove on the Potomac,"261,225",,"$15,426,000.00",,201,"$8,235,000.00","$13,704,000.00","$21,475,000.00"
3236,MAWA,2018,Maggie L. Walker NHS,"10,961",,"$647,000.00",,10,"$292,000.00","$508,000.00","$882,000.00"
3237,MACA,2018,Mammoth Cave NP,"533,206",,"$45,094,000.00",,598,"$21,969,000.00","$37,614,000.00","$61,621,000.00"
3238,MANA,2018,Manassas NBP,"542,005",,"$32,007,000.00",,412,"$17,029,000.00","$28,383,000.00","$44,349,000.00"
3239,MAPR,2018,Manhattan Project (New Mexico) NHP,"14,161",,"$836,000.00",,11,"$343,000.00","$572,000.00","$978,000.00"
3240,MAPR,2018,Manhattan Project (Tennessee) NHP,"31,640",,"$607,000.00",,8,"$256,000.00","$402,000.00","$684,000.00"
3241,MAPR,2018,Manhattan Project (Washington) NHP,"23,742",,"$788,000.00",,9,"$289,000.00","$531,000.00","$863,000.00"
3242,MANZ,2018,Manzanar NHS,"104,080",,"$11,026,000.00",,137,"$4,751,000.00","$7,747,000.00","$12,790,000.00"
3243,MABI,2018,Marsh-Billings-Rockefeller NHP,"63,886",,"$3,773,000.00",,50,"$1,650,000.00","$2,926,000.00","$4,788,000.00"
3244,MALU,2018,"Martin Luther King, Jr. NHP","641,800",,"$37,900,000.00",,582,"$20,184,000.00","$34,301,000.00","$57,535,000.00"
3245,MLKM,2018,"Martin Luther King, Jr. Memorial","3,567,434",,"$68,246,000.00",,887,"$37,087,000.00","$62,762,000.00","$98,258,000.00"
3246,MAVA,2018,Martin Van Buren NHS,"18,642",,"$1,101,000.00",,14,"$523,000.00","$900,000.00","$1,424,000.00"
3247,MABE,2018,Mary McLeod Bethune Council House NHS,109,,"$2,000.00",,,"$1,000.00","$2,000.00","$3,000.00"
3248,MEVE,2018,Mesa Verde NP,"563,421",,"$58,513,000.00",,828,"$22,283,000.00","$40,058,000.00","$72,444,000.00"
3249,MIIN,2018,Minidoka (Idaho) NHS,"5,666",,"$100,000.00",,2,"$33,000.00","$53,000.00","$103,000.00"
3250,MIIN,2018,Minidoka (Washington) NHS,"5,900",,"$348,000.00",,4,"$118,000.00","$232,000.00","$381,000.00"
3251,MIMA,2018,Minute Man NHP,"1,014,802",,"$59,927,000.00",,790,"$33,180,000.00","$54,526,000.00","$85,770,000.00"
3252,MIMI,2018,Minuteman Missile NHS,"139,273",,"$10,455,000.00",,151,"$4,369,000.00","$7,220,000.00","$13,306,000.00"
3253,MISS,2018,Mississippi NRRA,"417,021",,"$18,510,000.00",,261,"$8,996,000.00","$15,314,000.00","$25,952,000.00"
3254,MNRR,2018,Missouri NRR,"128,657",,"$5,711,000.00",,80,"$2,238,000.00","$3,730,000.00","$6,740,000.00"
3255,MOJA,2018,Mojave NPRES,"787,405",,"$46,482,000.00",,588,"$22,188,000.00","$36,650,000.00","$58,792,000.00"
3256,MONO,2018,Monocacy NB,"84,902",,"$2,973,000.00",,42,"$1,186,000.00","$2,081,000.00","$3,542,000.00"
3257,MOCA,2018,Montezuma Castle NM,"390,151",,"$23,040,000.00",,332,"$11,904,000.00","$20,385,000.00","$33,761,000.00"
3258,MOCR,2018,Moores Creek NB,"58,531",,"$3,799,000.00",,52,"$1,397,000.00","$2,531,000.00","$4,509,000.00"
3259,MORR,2018,Morristown NHP,"279,393",,"$16,499,000.00",,199,"$9,238,000.00","$15,450,000.00","$23,286,000.00"
3260,MORA,2018,Mount Rainier NP,"1,518,491",,"$54,896,000.00",,597,"$25,091,000.00","$44,787,000.00","$68,415,000.00"
3261,MORU,2018,Mount Rushmore NMEM,"2,311,272",,"$136,487,000.00",,"2,010","$57,345,000.00","$96,308,000.00","$176,843,000.00"
3262,MUWO,2018,Muir Woods NM,"957,932",,"$108,376,000.00",,"1,073","$63,587,000.00","$103,511,000.00","$147,066,000.00"
3263,NATC,2018,Natchez NHP,"234,785",,"$13,865,000.00",,207,"$5,525,000.00","$9,872,000.00","$17,575,000.00"
3264,NATR,2018,Natchez Trace PKWY,"6,362,439",,"$156,873,000.00",,"1,908","$57,590,000.00","$93,398,000.00","$162,263,000.00"
3265,NCPC,2018,National Capital Parks Central,"1,800,329",,"$34,441,000.00",,449,"$18,721,000.00","$31,674,000.00","$49,658,000.00"
3266,NCPE,2018,National Capital Parks East,"1,447,273",,"$27,687,000.00",,371,"$15,107,000.00","$25,716,000.00","$40,603,000.00"
3267,NPSA,2018,National Park of American Samoa,"28,625",,"$1,690,000.00",,19,"$784,000.00","$1,402,000.00","$2,170,000.00"
3268,NABR,2018,Natural Bridges NM,"103,118",,"$6,537,000.00",,84,"$2,301,000.00","$4,093,000.00","$7,277,000.00"
3269,NAVA,2018,Navajo NM,"61,194",,"$3,871,000.00",,50,"$1,327,000.00","$2,380,000.00","$4,258,000.00"
3270,NEBE,2018,New Bedford Whaling NHP,"186,937",,"$10,132,000.00",,140,"$5,886,000.00","$9,680,000.00","$15,072,000.00"
3271,JAZZ,2018,New Orleans Jazz NHP,"54,483",,"$3,217,000.00",,46,"$1,480,000.00","$2,599,000.00","$4,374,000.00"
3272,NERI,2018,New River Gorge NP & PRES,"1,232,628",,"$54,681,000.00",,769,"$21,085,000.00","$35,660,000.00","$63,545,000.00"
3273,NEPE,2018,Nez Perce NHP,"307,645",,"$18,167,000.00",,244,"$7,232,000.00","$13,264,000.00","$22,389,000.00"
3274,NICO,2018,Nicodemus NHS,"2,738",,"$154,000.00",,2,"$47,000.00","$79,000.00","$153,000.00"
3275,NISI,2018,Ninety Six NHS,"95,551",,"$5,643,000.00",,83,"$2,434,000.00","$4,205,000.00","$7,347,000.00"
3276,NIOB,2018,Niobrara NSR,"61,638",,"$6,312,000.00",,102,"$1,973,000.00","$3,392,000.00","$7,056,000.00"
3277,NOAT,2018,Noatak NPRES,"16,387",,"$24,892,000.00",,307,"$11,656,000.00","$21,816,000.00","$35,381,000.00"
3278,NOCA,2018,North Cascades NP,"30,085",,"$1,375,000.00",,14,"$623,000.00","$1,059,000.00","$1,576,000.00"
3279,OBRI,2018,Obed W&SR,"217,530",,"$4,038,000.00",,46,"$1,481,000.00","$2,286,000.00","$3,957,000.00"
3280,OCMU,2018,Ocmulgee Mounds NHP,"133,007",,"$7,855,000.00",,126,"$2,868,000.00","$5,031,000.00","$9,601,000.00"
3281,OLYM,2018,Olympic NP,"3,104,455",,"$261,607,000.00",,"2,972","$127,188,000.00","$234,553,000.00","$357,063,000.00"
3282,ORCA,2018,Oregon Caves NM & PRES,"67,417",,"$4,793,000.00",,67,"$1,988,000.00","$3,302,000.00","$5,849,000.00"
3283,ORPI,2018,Organ Pipe Cactus NM,"260,376",,"$16,191,000.00",,226,"$8,101,000.00","$14,054,000.00","$23,448,000.00"
3284,OZAR,2018,Ozark NSR,"1,264,658",,"$55,438,000.00",,840,"$17,909,000.00","$30,118,000.00","$60,029,000.00"
3285,PAIS,2018,Padre Island NS,"616,033",,"$26,989,000.00",,367,"$10,151,000.00","$17,124,000.00","$30,953,000.00"
3286,PAAL,2018,Palo Alto Battlefield NHP,"82,487",,"$4,871,000.00",,74,"$1,949,000.00","$3,313,000.00","$6,148,000.00"
3287,PAGR,2018,Paterson Great Falls NHP,"143,605",,"$8,480,000.00",,99,"$4,694,000.00","$7,459,000.00","$11,241,000.00"
3288,PERI,2018,Pea Ridge NMP,"101,969",,"$6,022,000.00",,96,"$2,475,000.00","$4,230,000.00","$7,808,000.00"
3289,PECO,2018,Pecos NHP,"39,130",,"$2,311,000.00",,35,"$1,002,000.00","$1,703,000.00","$3,031,000.00"
3290,PAAV,2018,Pennsylvania Avenue NHS,"119,616",,"$2,288,000.00",,30,"$1,243,000.00","$2,104,000.00","$3,294,000.00"
3291,PEVI,2018,Perry's Victory & Intl. Peace MEM,"150,558",,"$13,623,000.00",,226,"$7,621,000.00","$12,979,000.00","$21,659,000.00"
3292,PETE,2018,Petersburg NB,"204,322",,"$12,066,000.00",,184,"$5,453,000.00","$9,506,000.00","$16,664,000.00"
3293,PEFO,2018,Petrified Forest NP,"644,921",,"$41,835,000.00",,542,"$13,858,000.00","$25,392,000.00","$46,072,000.00"
3294,PETR,2018,Petroglyph NM,"268,613",,"$15,862,000.00",,242,"$6,794,000.00","$11,587,000.00","$20,826,000.00"
3295,PIRO,2018,Pictured Rocks NL,"815,308",,"$35,941,000.00",,451,"$11,040,000.00","$20,353,000.00","$36,087,000.00"
3296,PINN,2018,Pinnacles NP,"222,152",,"$13,119,000.00",,153,"$6,600,000.00","$10,456,000.00","$16,135,000.00"
3297,PISP,2018,Pipe Spring NM,"25,180",,"$1,487,000.00",,22,"$551,000.00","$960,000.00","$1,744,000.00"
3298,PIPE,2018,Pipestone NM,"73,268",,"$4,327,000.00",,64,"$1,885,000.00","$3,144,000.00","$5,627,000.00"
3299,PISC,2018,Piscataway Park,"146,364",,"$8,643,000.00",,111,"$4,601,000.00","$7,665,000.00","$11,941,000.00"
3300,PORE,2018,Point Reyes NS,"2,397,721",,"$107,435,000.00",,"1,145","$56,692,000.00","$89,197,000.00","$134,063,000.00"
3301,POCH,2018,Port Chicago Naval Magazine NMEM,652,,"$39,000.00",,,"$22,000.00","$35,000.00","$53,000.00"
3302,PRPA,2018,President's Park,"1,035,737",,"$19,814,000.00",,257,"$10,768,000.00","$18,222,000.00","$28,528,000.00"
3303,WICL,2018,President W.J. Clinton Birthplace Home NHS,"10,845",,"$641,000.00",,9,"$229,000.00","$430,000.00","$770,000.00"
3304,PRWI,2018,Prince William Forest Park,"313,628",,"$17,890,000.00",,219,"$9,199,000.00","$15,295,000.00","$23,808,000.00"
3305,PUHO,2018,Pu'uhonua o Honaunau NHP,"462,975",,"$27,340,000.00",,307,"$12,679,000.00","$22,679,000.00","$35,101,000.00"
3306,PUHE,2018,Pu'ukohola Heiau NHS,"145,585",,"$8,597,000.00",,96,"$3,987,000.00","$7,131,000.00","$11,037,000.00"
3307,RABR,2018,Rainbow Bridge NM,"110,905",,"$6,549,000.00",,89,"$2,318,000.00","$4,101,000.00","$7,337,000.00"
3308,REDW,2018,Redwood NP,"482,535",,"$31,071,000.00",,423,"$12,668,000.00","$20,886,000.00","$36,783,000.00"
3309,RICH,2018,Richmond NBP,"199,345",,"$11,772,000.00",,177,"$5,250,000.00","$9,164,000.00","$16,035,000.00"
3310,RIGR,2018,Rio Grande W&SR,330,,"$230,000.00",,4,"$72,000.00","$136,000.00","$269,000.00"
3311,RIRA,2018,River Raisin NBP,"240,548",,"$14,205,000.00",,201,"$7,005,000.00","$12,129,000.00","$19,997,000.00"
3312,ROCR,2018,Rock Creek Park,"2,395,342",,"$45,823,000.00",,599,"$24,926,000.00","$42,166,000.00","$66,166,000.00"
3313,ROMO,2018,Rocky Mountain NP,"4,590,493",,"$305,593,000.00",,"4,363","$163,899,000.00","$282,015,000.00","$463,860,000.00"
3314,ROWI,2018,Roger Williams NMEM,"60,709",,"$3,585,000.00",,46,"$1,954,000.00","$3,226,000.00","$5,032,000.00"
3315,RORI,2018,Rosie The Riveter WWII Home Front NHP,"57,852",,"$3,416,000.00",,40,"$1,951,000.00","$3,092,000.00","$4,693,000.00"
3316,ROLA,2018,Ross Lake NRA,"892,043",,"$40,114,000.00",,404,"$17,979,000.00","$31,751,000.00","$47,586,000.00"
3317,RUCA,2018,Russell Cave NM,"21,620",,"$1,277,000.00",,19,"$517,000.00","$875,000.00","$1,590,000.00"
3318,SAHI,2018,Sagamore Hill NHS,"39,969",,"$2,360,000.00",,27,"$1,289,000.00","$2,185,000.00","$3,238,000.00"
3319,SAGU,2018,Saguaro NP,"957,405",,"$62,099,000.00",,866,"$31,267,000.00","$54,459,000.00","$90,857,000.00"
3320,SAGA,2018,Saint-Gaudens NHP,"35,218",,"$1,764,000.00",,25,"$938,000.00","$1,615,000.00","$2,590,000.00"
3321,SACR,2018,Saint Croix Island IHS,"12,000",,"$709,000.00",,10,"$281,000.00","$493,000.00","$861,000.00"
3322,SACN,2018,Saint Croix NSR,"724,643",,"$31,744,000.00",,447,"$15,272,000.00","$25,846,000.00","$43,779,000.00"
3323,SAPA,2018,Saint Paul's Church NHS,"21,631",,"$1,277,000.00",,15,"$699,000.00","$1,186,000.00","$1,757,000.00"
3324,SAMA,2018,Salem Maritime NHS,"300,475",,"$17,744,000.00",,232,"$9,930,000.00","$16,277,000.00","$25,439,000.00"
3325,SAPU,2018,Salinas Pueblo Missions NM,"34,630",,"$2,045,000.00",,31,"$874,000.00","$1,488,000.00","$2,663,000.00"
3326,SARI,2018,Salt River Bay NHP & Ecological Pres,"4,884",,"$288,000.00",,3,"$134,000.00","$239,000.00","$370,000.00"
3327,SAAN,2018,San Antonio Missions NHP,"1,208,104",,"$87,957,000.00",,"1,295","$44,091,000.00","$77,617,000.00","$130,985,000.00"
3328,SAFR,2018,San Francisco Maritime NHP,"4,223,542",,"$106,000,000.00",,"1,066","$50,791,000.00","$79,735,000.00","$121,445,000.00"
3329,SAJH,2018,San Juan Island NHP,"255,032",,"$15,060,000.00",,165,"$7,141,000.00","$12,827,000.00","$19,321,000.00"
3330,SAJU,2018,San Juan NHS,"910,405",,"$53,762,000.00",,603,"$24,933,000.00","$44,596,000.00","$69,023,000.00"
3331,SAND,2018,Sand Creek Massacre NHS,"6,006",,"$355,000.00",,6,"$90,000.00","$173,000.00","$359,000.00"
3332,SAMO,2018,Santa Monica Mountains NRA,"867,153",,"$38,488,000.00",,476,"$20,160,000.00","$32,748,000.00","$52,229,000.00"
3333,SARA,2018,Saratoga NHP,"135,445",,"$7,998,000.00",,105,"$3,299,000.00","$5,956,000.00","$9,849,000.00"
3334,SAIR,2018,Saugus Iron Works NHS,"10,661",,"$629,000.00",,8,"$352,000.00","$578,000.00","$903,000.00"
3335,SCBL,2018,Scotts Bluff NM,"142,028",,"$8,387,000.00",,118,"$3,092,000.00","$5,378,000.00","$9,627,000.00"
3336,SEQU,2018,Sequoia NP,"1,229,594",,"$94,431,000.00",,"1,186","$39,587,000.00","$65,779,000.00","$110,349,000.00"
3337,SHEN,2018,Shenandoah NP,"1,264,880",,"$86,905,000.00",,"1,077","$44,522,000.00","$74,222,000.00","$116,074,000.00"
3338,SHIL,2018,Shiloh NMP,"376,100",,"$22,210,000.00",,341,"$7,749,000.00","$13,312,000.00","$25,647,000.00"
3339,SITK,2018,Sitka NHP,"197,017",,"$35,366,000.00",,608,"$19,311,000.00","$29,435,000.00","$50,865,000.00"
3340,SLBE,2018,Sleeping Bear Dunes NL,"1,643,599",,"$180,424,000.00",,"2,467","$66,087,000.00","$125,353,000.00","$217,080,000.00"
3341,SPAR,2018,Springfield Armory NHS,"20,105",,"$1,187,000.00",,15,"$620,000.00","$1,025,000.00","$1,610,000.00"
3342,STLI,2018,Statue Of Liberty NM,"4,335,431",,"$256,020,000.00",,"2,989","$141,368,000.00","$238,659,000.00","$355,718,000.00"
3343,STEA,2018,Steamtown NHS,"97,949",,"$5,364,000.00",,78,"$2,669,000.00","$4,361,000.00","$7,312,000.00"
3344,STRI,2018,Stones River NB,"266,502",,"$15,738,000.00",,212,"$8,009,000.00","$13,200,000.00","$21,565,000.00"
3345,STON,2018,Stonewall NM,"511,220",,"$30,189,000.00",,354,"$16,662,000.00","$28,151,000.00","$42,006,000.00"
3346,SUCR,2018,Sunset Crater Volcano NM,"104,583",,"$6,176,000.00",,87,"$2,169,000.00","$3,864,000.00","$6,923,000.00"
3347,TAPR,2018,Tallgrass Prairie NPRES,"27,715",,"$1,637,000.00",,25,"$688,000.00","$1,155,000.00","$2,097,000.00"
3348,THKO,2018,Thaddeus Kosciuszko NMEM,"2,077",,"$123,000.00",,2,"$70,000.00","$113,000.00","$182,000.00"
3349,THRB,2018,Theodore Roosevelt Birthplace NHS,"23,155",,"$1,367,000.00",,16,"$755,000.00","$1,275,000.00","$1,903,000.00"
3350,THRI,2018,Theodore Roosevelt Inaugural NHS,"27,507",,"$1,624,000.00",,22,"$673,000.00","$1,269,000.00","$2,089,000.00"
3351,THIS,2018,Theodore Roosevelt Island,"151,500",,"$8,946,000.00",,117,"$4,776,000.00","$7,948,000.00","$12,455,000.00"
3352,THRO,2018,Theodore Roosevelt NP,"749,389",,"$47,862,000.00",,611,"$18,174,000.00","$30,622,000.00","$54,011,000.00"
3353,EDIS,2018,Thomas Edison NHP,"47,298",,"$2,793,000.00",,33,"$1,549,000.00","$2,598,000.00","$3,886,000.00"
3354,JEFM,2018,Thomas Jefferson MEM,"3,198,859",,"$61,195,000.00",,795,"$33,255,000.00","$56,277,000.00","$88,107,000.00"
3355,THST,2018,Thomas Stone NHS,"8,255",,"$488,000.00",,6,"$260,000.00","$432,000.00","$672,000.00"
3356,TICA,2018,Timpanogos Cave NM,"121,311",,"$7,164,000.00",,112,"$3,589,000.00","$6,045,000.00","$10,624,000.00"
3357,TIMU,2018,Timucuan EHP,"1,134,856",,"$67,016,000.00",,"1,016","$31,468,000.00","$54,294,000.00","$93,894,000.00"
3358,TONT,2018,Tonto NM,"39,823",,"$2,352,000.00",,34,"$1,217,000.00","$2,088,000.00","$3,476,000.00"
3359,TUMA,2018,Tumacacori NHP,"40,809",,"$2,408,000.00",,37,"$951,000.00","$1,702,000.00","$3,055,000.00"
3360,TUAI,2018,Tuskegee Airmen NHS,"26,830",,"$1,584,000.00",,25,"$588,000.00","$1,028,000.00","$1,948,000.00"
3361,TUIN,2018,Tuskegee Institute NHS,"37,486",,"$2,214,000.00",,35,"$822,000.00","$1,437,000.00","$2,722,000.00"
3362,TUZI,2018,Tuzigoot NM,"98,089",,"$5,793,000.00",,83,"$3,008,000.00","$5,145,000.00","$8,505,000.00"
3363,ULSG,2018,Ulysses S. Grant NHS,"43,601",,"$2,575,000.00",,41,"$1,323,000.00","$2,200,000.00","$3,838,000.00"
3364,UPDE,2018,Upper Delaware S&RR,"220,965",,"$9,808,000.00",,104,"$4,707,000.00","$7,919,000.00","$11,815,000.00"
3365,VAFO,2018,Valley Forge NHP,"1,881,362",,"$24,097,000.00",,382,"$13,704,000.00","$22,205,000.00","$36,581,000.00"
3366,VAMA,2018,Vanderbilt Mansion NHS,"340,870",,"$20,129,000.00",,245,"$10,294,000.00","$17,303,000.00","$26,692,000.00"
3367,VICK,2018,Vicksburg NMP,"474,387",,"$28,014,000.00",,452,"$11,415,000.00","$20,085,000.00","$37,270,000.00"
3368,VIVE,2018,Vietnam Veterans MEM,"4,719,148",,"$90,278,000.00",,"1,173","$49,060,000.00","$83,024,000.00","$129,980,000.00"
3369,VIIS,2018,Virgin Islands NP,"112,287",,"$16,322,000.00",,188,"$7,858,000.00","$14,810,000.00","$22,550,000.00"
3370,VOYA,2018,Voyageurs NP,"239,657",,"$19,541,000.00",,283,"$7,365,000.00","$13,156,000.00","$23,914,000.00"
3371,WACO,2018,Waco Mammoth NM,"106,932",,"$6,315,000.00",,91,"$2,566,000.00","$4,507,000.00","$7,905,000.00"
3372,WACA,2018,Walnut Canyon NM,"167,736",,"$9,905,000.00",,139,"$3,479,000.00","$6,198,000.00","$11,104,000.00"
3373,WAPA,2018,War In The Pacific NHP,"387,855",,"$22,904,000.00",,257,"$10,622,000.00","$18,999,000.00","$29,406,000.00"
3374,WAMO,2018,Washington Monument,,,,,,,,
3375,WABA,2018,Washita Battlefield NHS,"13,437",,"$793,000.00",,12,"$261,000.00","$455,000.00","$890,000.00"
3376,WEFA,2018,Weir Farm NHP,"35,383",,"$2,089,000.00",,24,"$1,136,000.00","$1,928,000.00","$2,858,000.00"
3377,WHIS,2018,Whiskeytown NRA,"585,768",,"$25,810,000.00",,329,"$10,020,000.00","$16,142,000.00","$28,018,000.00"
3378,WHHO,2018,White House,"485,975",,"$9,297,000.00",,121,"$5,052,000.00","$8,550,000.00","$13,385,000.00"
3379,WHSA,2018,White Sands NP,"603,008",,"$32,192,000.00",,443,"$11,731,000.00","$20,017,000.00","$37,145,000.00"
3380,WHMI,2018,Whitman Mission NHS,"49,274",,"$2,910,000.00",,37,"$1,065,000.00","$1,991,000.00","$3,317,000.00"
3381,WIHO,2018,William Howard Taft NHS,"30,201",,"$1,784,000.00",,27,"$883,000.00","$1,477,000.00","$2,543,000.00"
3382,WICR,2018,Wilson's Creek NB,"220,276",,"$13,008,000.00",,205,"$5,392,000.00","$9,020,000.00","$16,670,000.00"
3383,WICA,2018,Wind Cave NP,"656,398",,"$66,631,000.00",,"1,009","$28,728,000.00","$48,468,000.00","$88,760,000.00"
3384,WOTR,2018,Wolf Trap NP for the Performing Arts,"365,539",,"$21,586,000.00",,283,"$11,551,000.00","$19,213,000.00","$30,186,000.00"
3385,WORI,2018,Women's Rights NHP,"42,783",,"$3,131,000.00",,40,"$1,295,000.00","$2,478,000.00","$4,020,000.00"
3386,WWII,2018,World War II Memorial,"4,652,866",,"$89,010,000.00",,"1,157","$48,371,000.00","$81,858,000.00","$128,155,000.00"
3387,,2018,World War II Valor in the Pacific NM,"1,779,142",,"$312,110,000.00",,"3,475","$154,837,000.00","$301,842,000.00","$457,646,000.00"
3388,WRST,2018,Wrangell-St. Elias NP & PRES,"79,450",,"$120,679,000.00",,"1,486","$56,512,000.00","$105,764,000.00","$171,530,000.00"
3389,WRBR,2018,Wright Brothers NMEM,"360,669",,"$21,298,000.00",,319,"$8,838,000.00","$15,429,000.00","$27,417,000.00"
3390,WUPA,2018,Wupatki NM,"205,122",,"$13,314,000.00",,176,"$4,657,000.00","$8,384,000.00","$14,922,000.00"
3391,YELL,2018,Yellowstone NP,"4,115,001",,"$512,566,000.00",,"7,089","$223,866,000.00","$375,210,000.00","$647,091,000.00"
3392,YOSE,2018,Yosemite NP,"4,009,438",,"$495,245,000.00",,"6,184","$220,522,000.00","$376,018,000.00","$624,129,000.00"
3393,YUCH,2018,Yukon-Charley Rivers NPRES,"1,272",,"$1,103,000.00",,9,"$457,000.00","$1,032,000.00","$1,557,000.00"
3394,ZION,2018,Zion NP,"4,320,032",,"$246,236,000.00",,"4,130","$95,644,000.00","$168,265,000.00","$327,236,000.00"
3395,ABLI,2019,Abraham Lincoln Birthplace NHP,"238,225",,"$14,169,000.00",,210,"$6,351,000.00","$11,082,000.00","$19,136,000.00"
3396,ACAD,2019,Acadia NP,"3,437,286",,"$379,517,000.00",,"5,474","$168,284,000.00","$298,961,000.00","$510,962,000.00"
3397,ADAM,2019,Adams NHP,"187,400",,"$11,146,000.00",,146,"$6,179,000.00","$10,145,000.00","$15,926,000.00"
3398,AFBG,2019,African Burial Ground NM,"47,428",,"$2,821,000.00",,33,"$1,558,000.00","$2,633,000.00","$3,928,000.00"
3399,AGFO,2019,Agate Fossil Beds NM,"16,657",,"$1,246,000.00",,17,"$393,000.00","$683,000.00","$1,306,000.00"
3400,ALFL,2019,Alibates Flint Quarries NM,"8,848",,"$526,000.00",,8,"$208,000.00","$355,000.00","$649,000.00"
3401,ALPO,2019,Allegheny Portage Railroad NHS,"189,189",,"$11,253,000.00",,178,"$5,612,000.00","$9,070,000.00","$15,800,000.00"
3402,AMIS,2019,Amistad NRA,"1,267,900",,"$56,596,000.00",,730,"$17,997,000.00","$31,646,000.00","$57,993,000.00"
3403,ANDE,2019,Andersonville NHS,"103,636",,"$6,164,000.00",,101,"$2,265,000.00","$3,971,000.00","$7,711,000.00"
3404,ANJO,2019,Andrew Johnson NHS,"51,189",,"$3,045,000.00",,44,"$1,352,000.00","$2,247,000.00","$3,939,000.00"
3405,ANIA,2019,Aniakchak NM & PRES,100,,"$70,000.00",,1,"$29,000.00","$66,000.00","$99,000.00"
3406,ANTI,2019,Antietam NB,"287,344",,"$17,086,000.00",,226,"$9,146,000.00","$15,171,000.00","$23,926,000.00"
3407,APIS,2019,Apostle Islands NL,"240,613",,"$38,732,000.00",,551,"$14,127,000.00","$25,150,000.00","$46,194,000.00"
3408,APCO,2019,Appomattox Court House NHP,"102,398",,"$6,090,000.00",,91,"$2,461,000.00","$4,236,000.00","$7,601,000.00"
3409,ARCH,2019,Arches NP,"1,659,702",,"$201,299,000.00",,"3,089","$81,926,000.00","$145,353,000.00","$264,383,000.00"
3410,ARPO,2019,Arkansas Post NMEM,"28,519",,"$1,696,000.00",,24,"$674,000.00","$1,194,000.00","$2,089,000.00"
3411,ARHO,2019,Arlington House The R.E. Lee MEM,,,,,,,,
3412,ASIS,2019,Assateague Island NS,"2,344,536",,"$104,353,000.00",,"1,316","$41,146,000.00","$68,870,000.00","$116,822,000.00"
3413,AZRU,2019,Aztec Ruins NM,"63,777",,"$3,793,000.00",,56,"$1,344,000.00","$2,395,000.00","$4,453,000.00"
3414,BADL,2019,Badlands NP,"970,998",,"$63,503,000.00",,890,"$25,075,000.00","$43,288,000.00","$79,643,000.00"
